Question,Answer
no problem. i'll give him food off my plate.,"oh, no you don't. puppies don't eat vegetables."
look at all these kittens!,how many are there?
how many are there?,eight.
eight.,they're all so cute.
they're all so cute.,"yes, but i can't keep them."
"yes, but i can't keep them.",what are you going to do with them?
what are you going to do with them?,i'm going to give them away. do you want one?
i'm going to give them away. do you want one?,"yes, i would love one."
"yes, i would love one.",which one do you want?
which one do you want?,that one. the one that's all black.
that one. the one that's all black.,"yes, i like that one, too."
"yes, i like that one, too.",i'll call him blacky.
my parents go to church every sunday.,they trust in god.
they trust in god.,they hope they will go to heaven.
they hope they will go to heaven.,they probably will.
they probably will.,but no one knows for sure.
but no one knows for sure.,that's for sure.
that's for sure.,no one knows what happens after we die.
no one knows what happens after we die.,"if we are good, we will be happy in heaven with god."
"if we are good, we will be happy in heaven with god.",that's what many people believe.
that's what many people believe.,"if we are bad, we will be unhappy forever in hell."
"if we are bad, we will be unhappy forever in hell.",i don't want to go to hell.
i don't want to go to hell.,let's go to church with your parents on sunday.
my husband died.,i'm sorry for you.
i'm sorry for you.,thank you.
thank you.,when did he die?
when did he die?,a couple of months ago.
a couple of months ago.,you still miss him.
you still miss him.,"yes, but i talk to him almost every day."
"yes, but i talk to him almost every day.",when you go to church?
when you go to church?,"no, when i call him on his cell phone."
"no, when i call him on his cell phone.",what do you mean?
what do you mean?,i buried him with his cell phone.
i buried him with his cell phone.,what will you do when the battery dies?
today is friday the thirteenth.,that's a bad day.
that's a bad day.,it's supposed to be unlucky.
it's supposed to be unlucky.,you're supposed to stay home all day.
you're supposed to stay home all day.,that's what i do.
that's what i do.,my friend stayed in a hotel on friday the thirteenth.
my friend stayed in a hotel on friday the thirteenth.,that was a mistake.
that was a mistake.,he stayed on the thirteenth floor.
he stayed on the thirteenth floor.,what happened?
what happened?,someone stole his laptop.
someone stole his laptop.,he was asking for it.
he was asking for it.,he learned his lesson. he's home today.
do you really love me?,of course.
of course.,prove it.
prove it.,how can i prove it?
how can i prove it?,take me to dinner.
take me to dinner.,that's it? that's all i have to do?
that's it? that's all i have to do?,"take me to a nice restaurant, not to mcdonald's."
"take me to a nice restaurant, not to mcdonald's.",but a nice restaurant costs money.
but a nice restaurant costs money.,"yes, and you have to make a reservation."
"yes, and you have to make a reservation.",that's such a hassle.
that's such a hassle.,i knew you didn't love me.
i knew you didn't love me.,"okay, okay! i'll make a reservation right now."
my parents are divorced.,so are mine.
so are mine.,why did your parents get divorced?
why did your parents get divorced?,my father found a new girlfriend.
my father found a new girlfriend.,that's too bad.
that's too bad.,my mother was hurt and angry.
my mother was hurt and angry.,she had good reason. what did she do?
she had good reason. what did she do?,she told him to drop his girlfriend.
she told him to drop his girlfriend.,what did your father do?
what did your father do?,he moved out of our house.
he moved out of our house.,i guess he really liked his new girlfriend.
i guess he really liked his new girlfriend.,"yes, but she left him a year later."
my grandma's apartment smells funny.,so does mine.
so does mine.,i think it's an old people's smell.
i think it's an old people's smell.,really?
really?,"yes. i think when you get old, you begin to smell."
"yes. i think when you get old, you begin to smell.",like fruit that is too ripe?
like fruit that is too ripe?,"yes, just like fruit that is too ripe."
"yes, just like fruit that is too ripe.",but the smell is different.
but the smell is different.,"yes, old people don't smell like fruit."
"yes, old people don't smell like fruit.","no, they smell like a thrift shop."
"no, they smell like a thrift shop.","yes, a thrift shop has that same smell."
"yes, a thrift shop has that same smell.","yes, an old smell."
the price of stamps goes up and up.,i think stamps used to cost a penny.
i think stamps used to cost a penny.,that was a long time ago.
that was a long time ago.,it was before i was born.
it was before i was born.,now a stamp is 42 cents.
now a stamp is 42 cents.,but in may it will be 44 cents.
but in may it will be 44 cents.,have you ever lost a letter in the mail?
have you ever lost a letter in the mail?,"no, i haven't."
"no, i haven't.",neither have i.
neither have i.,"so, they do a good job for the money."
"so, they do a good job for the money.","yes, they do."
"yes, they do.",maybe we shouldn't complain.
a button came off my shirt.,what are you going to do?
what are you going to do?,"first, i have to find the button."
"first, i have to find the button.",where did you lose it?
where did you lose it?,i have no idea.
i have no idea.,a button is hard to find. did you look in your pant cuffs?
a button is hard to find. did you look in your pant cuffs?,that's a good idea.
that's a good idea.,i found a button in my pant cuffs one time.
i found a button in my pant cuffs one time.,"let me look. no, it's not there."
"let me look. no, it's not there.",many shirts come with an extra button.
many shirts come with an extra button.,you're right. this one does have an extra button.
you're right. this one does have an extra button.,now all you have to do is sew it on.
i have to go to the bathroom.,you drink too much coffee.
you drink too much coffee.,but i love coffee.
but i love coffee.,"well, it's your life."
"well, it's your life.",you eat too much chocolate.
you eat too much chocolate.,i don't think so.
i don't think so.,have you looked in the mirror?
have you looked in the mirror?,do you think i'm getting fat?
do you think i'm getting fat?,i didn't say that.
i didn't say that.,what did you say?
what did you say?,i said i have to go to the bathroom.
i said i have to go to the bathroom.,that's what i thought you said.
did you do the laundry?,"yes, i did."
"yes, i did.",what did you wash?
what did you wash?,i washed the sheets and towels.
i washed the sheets and towels.,what about the pillowcases?
what about the pillowcases?,"yes, i took them off the pillows and washed them."
"yes, i took them off the pillows and washed them.",did you dry everything in the dryer?
did you dry everything in the dryer?,"yes, i dried everything in the dryer."
"yes, i dried everything in the dryer.",then what did you do?
then what did you do?,i folded all the towels.
i folded all the towels.,did you put the sheets on the beds?
did you put the sheets on the beds?,"yes, and i put the pillowcases on the pillows."
do you listen to the radio?,i listen day and night.
i listen day and night.,what do you listen to?
what do you listen to?,mostly talk radio.
mostly talk radio.,what's that?
what's that?,people talk about current events.
people talk about current events.,what do they say?
what do they say?,they say they want change.
they say they want change.,what kind of change?
what kind of change?,they want tax cuts.
they want tax cuts.,why do they want tax cuts?
why do they want tax cuts?,because tax cuts will save them money.
"mom, i'm hungry.",look in the fridge.
look in the fridge.,i'm looking. there's nothing to eat.
i'm looking. there's nothing to eat.,are you sure?
are you sure?,it's almost empty.
it's almost empty.,i went to the market yesterday.
i went to the market yesterday.,i don't see anything.
i don't see anything.,i bought lots of oranges and apples.
i bought lots of oranges and apples.,i don't want fruit. i want something tasty.
i don't want fruit. i want something tasty.,eat the fruit. it's good for you.
eat the fruit. it's good for you.,"next time you go to the market, let me go with you."
"next time you go to the market, let me go with you.","no, thank you. all you want to eat are hot dogs and candy bars."
what is there to eat?,i don't know. look in the fridge.
i don't know. look in the fridge.,i think i'll make a sandwich.
i think i'll make a sandwich.,what kind?
what kind?,a ham sandwich.
a ham sandwich.,the bread is in the cabinet.
the bread is in the cabinet.,where's the mustard?
where's the mustard?,"it's in the fridge, i think."
"it's in the fridge, i think.","oh, yes, here it is. do you want a sandwich?"
"oh, yes, here it is. do you want a sandwich?","yes, that sounds nice."
"yes, that sounds nice.",how about some potato chips?
how about some potato chips?,"yes. and a pickle, if we have any."
"it's time for your bath, young lady.","but, mom, i'm not dirty."
"but, mom, i'm not dirty.",you need a bath every day.
you need a bath every day.,why?
why?,because you don't want to smell bad.
because you don't want to smell bad.,i don't smell bad.
i don't smell bad.,that's what you think.
that's what you think.,"if i smelled bad, i could smell me."
"if i smelled bad, i could smell me.",i can smell you.
i can smell you.,"i can smell you, too."
"i can smell you, too.",that's my perfume.
that's my perfume.,when can i wear perfume?
something's wrong with my computer.,exactly what?
exactly what?,all i get is a black screen.
all i get is a black screen.,what's the matter?
what's the matter?,"i think i know, because this happened before."
"i think i know, because this happened before.",what happened before?
what happened before?,my hard drive crashed.
my hard drive crashed.,"oh, no. that's bad news."
"oh, no. that's bad news.","it sure is, but i'm going to call hp first, just to make sure."
"it sure is, but i'm going to call hp first, just to make sure.",will you lose all your files?
will you lose all your files?,"no, i always back up my files."
"no, i always back up my files.",you're smart.
i called hp about my computer.,what did they say?
what did they say?,they said i need a new hard drive.
they said i need a new hard drive.,that's too bad. how much is a new one?
that's too bad. how much is a new one?,"it's not too much, only about $85."
"it's not too much, only about $85.",plus installation?
plus installation?,"no, my hard drive is easy to remove and replace."
"no, my hard drive is easy to remove and replace.",really?
really?,"yes, it's just a couple of screws."
"yes, it's just a couple of screws.",that's nice.
that's nice.,it's a lot better than paying someone $60.
it's a lot better than paying someone $60.,"if my hard drive crashes, i'll just call you."
what's your email address?,it's bluedog123.
it's bluedog123.,bluedog123. are you sure that's all?
bluedog123. are you sure that's all?,yes.
yes.,no. that's incomplete.
no. that's incomplete.,what do you mean?
what do you mean?,what's your mailing address?
what's your mailing address?,"456 cherry drive, pasadena, ca 91170."
"456 cherry drive, pasadena, ca 91170.",that's correct.
that's correct.,so what's the problem?
so what's the problem?,"bluedog123 is just the street. you have to give me the city, state, and zip code."
"bluedog123 is just the street. you have to give me the city, state, and zip code.","oh, i get it. my email address is bluedog123@yahoo.com."
i'm going to take a nap.,you should unplug the phone.
you should unplug the phone.,that's a good idea.
that's a good idea.,do you want me to wake you in an hour?
do you want me to wake you in an hour?,"no, thanks. just let me sleep until i wake up."
"no, thanks. just let me sleep until i wake up.",i'll start dinner at 6:00.
i'll start dinner at 6:00.,okay. i think i'll be awake by then.
okay. i think i'll be awake by then.,"if not, your nose will wake you up."
"if not, your nose will wake you up.",you mean i will smell the food cooking?
you mean i will smell the food cooking?,you might even dream about dinner.
you might even dream about dinner.,i don't think i'm going to dream about anything. i'm really tired.
i don't think i'm going to dream about anything. i'm really tired.,have a nice nap.
that was a nice funeral.,"yes, dad, it was."
"yes, dad, it was.",the son gave a nice speech about his father.
the son gave a nice speech about his father.,"it was long, too."
"it was long, too.",i think it was about 45 minutes long.
i think it was about 45 minutes long.,but it went by fast. it was interesting.
but it went by fast. it was interesting.,i liked it.
i liked it.,"i'll give you a speech like that, too."
"i'll give you a speech like that, too.",do you think anyone will come to my funeral?
do you think anyone will come to my funeral?,of course.
of course.,i think only the family will be there.
i think only the family will be there.,"you have lots of friends. they will be there, too!"
yikes! what was that noise?,i had to blow my nose.
i had to blow my nose.,did you have to blow right next to the phone?
did you have to blow right next to the phone?,did you hear that?
did you hear that?,of course i heard that. i thought a plane had crashed into your house.
of course i heard that. i thought a plane had crashed into your house.,it wasn't that loud.
it wasn't that loud.,"i will blow my nose sometime for you, and you'll see."
"i will blow my nose sometime for you, and you'll see.",okay. i'll take your word for it.
okay. i'll take your word for it.,i thought you had an elephant in your house.
i thought you had an elephant in your house.,you're funny.
you're funny.,what did you say? i think i've gone deaf.
what did you say? i think i've gone deaf.,i'm going into the bathroom to blow my nose. i'll be right back.
i have lots of friends.,really? how many do you have?
really? how many do you have?,"i don't know, maybe one hundred."
"i don't know, maybe one hundred.",that is a lot of friends. do you have a best friend?
that is a lot of friends. do you have a best friend?,of course. i have lots of best friends.
of course. i have lots of best friends.,how many best friends do you have?
how many best friends do you have?,i think about twenty-five.
i think about twenty-five.,hmm. i have only one best friend.
hmm. i have only one best friend.,i feel sorry for you.
i feel sorry for you.,i have only a few friends.
i have only a few friends.,you must be lonely. i will share my friends with you.
you must be lonely. i will share my friends with you.,that's very nice of you.
don't you ever cheat on me.,why would i do that?
why would i do that?,because men like to cheat.
because men like to cheat.,"some men do, but not me."
"some men do, but not me.",i'm watching you.
i'm watching you.,i'm an open book. watch me all you want.
i'm an open book. watch me all you want.,"if i catch you, you'll be sorry."
"if i catch you, you'll be sorry.","you won't catch me, because i love you. i'm not a cheater."
"you won't catch me, because i love you. i'm not a cheater.",i will poke your eyes out.
i will poke your eyes out.,i don't want any other woman.
i don't want any other woman.,"i will chop your toes off, one by one."
"i will chop your toes off, one by one.","honey, please. you're the only woman for me, forever. i swear it."
i hate to go outside.,me too.
me too.,why do you hate to go outside?
why do you hate to go outside?,i meet too many jerks.
i meet too many jerks.,i agree.
i agree.,this city is full of jerks.
this city is full of jerks.,rude people are everywhere.
rude people are everywhere.,but what can you do?
but what can you do?,you can yell at them.
you can yell at them.,and they will yell back at you.
and they will yell back at you.,yelling doesn't do any good.
yelling doesn't do any good.,no. the best thing to do is just stay home.
will you look at this form?,are you having problems with it?
are you having problems with it?,i don't understand some things.
i don't understand some things.,let me help you.
let me help you.,"what does ""mi"" mean?"
"what does ""mi"" mean?",mi stands for middle initial.
mi stands for middle initial.,"what does ""mm/dd/yy"" mean?"
"what does ""mm/dd/yy"" mean?",that means month/day/year. use numbers.
that means month/day/year. use numbers.,i don't understand.
i don't understand.,"for example, if your birth date is january 12, 1987, write 01/12/87."
"for example, if your birth date is january 12, 1987, write 01/12/87.",oh. that's simple enough.
oh. that's simple enough.,"always print clearly, and fill in the bubbles completely."
let's go to the animal shelter.,what do you want to do?
what do you want to do?,i want to get a puppy for my son.
i want to get a puppy for my son.,that will make him so happy.
that will make him so happy.,i'll get him one of those little dogs.
i'll get him one of those little dogs.,one that won't grow up too big.
one that won't grow up too big.,and eat too much.
and eat too much.,do you know which one he would like?
do you know which one he would like?,"oh, yes, i took him there yesterday. he showed me one that he really liked."
"oh, yes, i took him there yesterday. he showed me one that he really liked.",i bet you had to drag him away.
i bet you had to drag him away.,he wanted to take it home yesterday.
he wanted to take it home yesterday.,i wonder what he'll name it.
what's the weather like?,i don't know. i just woke up.
i don't know. i just woke up.,why don't you look outside?
why don't you look outside?,okay. it looks like rain.
okay. it looks like rain.,why do you say that?
why do you say that?,the sky is gray.
the sky is gray.,is it raining right now?
is it raining right now?,no.
no.,how do you know?
how do you know?,the street isn't wet.
the street isn't wet.,i have to go shopping today.
i have to go shopping today.,you'd better take an umbrella.
i can't believe how hot it is.,it's not even noon yet.
it's not even noon yet.,that means it will get hotter.
