Question,Answer
what happened to your plans?,i got a d in college chemistry.
i got a d in college chemistry.,"well, a d is better than an f."
"well, a d is better than an f.",a tutor helped me get the d!
a tutor helped me get the d!,"so, you didn't become a doctor."
"so, you didn't become a doctor.",and now i'm glad that i didn't.
and now i'm glad that i didn't.,why's that?
why's that?,a hospital is the most dangerous place in the world.
a hospital is the most dangerous place in the world.,"oh, yes, because of all the killer germs."
"oh, yes, because of all the killer germs.","if you're a smart doctor, you stay away from hospitals."
"if you're a smart doctor, you stay away from hospitals.","yes, the smart doctors are those tv news doctorsno hospitals, no patients."
i want to be a mail carrier when i grow up.,why?
why?,because you get to meet a lot of people.
because you get to meet a lot of people.,you sure do.
you sure do.,and you get a lot of exercise every day.
and you get a lot of exercise every day.,that's the truth.
that's the truth.,and you get to play with a lot of dogs.
and you get to play with a lot of dogs.,"well, you're supposed to be working."
"well, you're supposed to be working.","yes, but i will always pet the friendly dogs."
"yes, but i will always pet the friendly dogs.",what about the unfriendly dogs?
what about the unfriendly dogs?,"i think if you are friendly to dogs, they are friendly to you."
"i think if you are friendly to dogs, they are friendly to you.",dogs are like peoplenot all of them are friendly.
i want to move to new york.,to the state or the city?
to the state or the city?,"to the city, of course."
"to the city, of course.",why do you want to move there?
why do you want to move there?,because i want to make a lot of money.
because i want to make a lot of money.,there are a lot of poor people in new york.
there are a lot of poor people in new york.,there sure areat least a million.
there sure areat least a million.,so how do you plan to become rich?
so how do you plan to become rich?,i will knock on the doors of all the corporations.
i will knock on the doors of all the corporations.,that won't make you rich. nobody will talk to you.
that won't make you rich. nobody will talk to you.,i will keep knocking on doors.
i will keep knocking on doors.,all you will get is sore knuckles.
i love salads.,me too.
me too.,i usually eat a simple salad.
i usually eat a simple salad.,what do you put in it?
what do you put in it?,"just lettuce, tomato, and celery."
"just lettuce, tomato, and celery.",that's it?
that's it?,i add some pepper and salt.
i add some pepper and salt.,i always put cheese in my salads.
i always put cheese in my salads.,"yes, cheese is nice."
"yes, cheese is nice.",what kind of dressing do you use?
what kind of dressing do you use?,i pour lots of french dressing on top.
i pour lots of french dressing on top.,me too. french dressing is so delicious! who cares about calories?
i love cheese.,me too.
me too.,where does cheese come from?
where does cheese come from?,it comes from cows.
it comes from cows.,"so we get cheese from cows, and we get milk, too?"
"so we get cheese from cows, and we get milk, too?","yes, we do."
"yes, we do.",what else do we get from cows?
what else do we get from cows?,we get hamburgers and steak.
we get hamburgers and steak.,"oh, that's so delicious."
"oh, that's so delicious.",we also get leather.
we also get leather.,"we get a lot of things from cows, don't we?"
"we get a lot of things from cows, don't we?",yes. a cow is man's best friend.
i used to work in a deli.,how did you like it?
how did you like it?,i loved it!
i loved it!,did you get free food?
did you get free food?,i ate free cheese and meat every day.
i ate free cheese and meat every day.,that sounds like a great job.
that sounds like a great job.,"whatever a customer ordered, i sliced off a little more for me."
"whatever a customer ordered, i sliced off a little more for me.",did you get fat?
did you get fat?,"no, but i did put on a few pounds."
"no, but i did put on a few pounds.",that sounds like a dream job.
that sounds like a dream job.,"it was, until one day my manager caught me."
"it was, until one day my manager caught me.","no more free cheese for you, huh?"
i'm on a new diet.,what are you eating now?
what are you eating now?,i switched from pasta to potatoes.
i switched from pasta to potatoes.,why did you do that?
why did you do that?,pasta is processed food. potatoes are natural food.
pasta is processed food. potatoes are natural food.,natural food has more vitamins.
natural food has more vitamins.,and it's just as easy to prepare.
and it's just as easy to prepare.,how do you prepare the potatoes?
how do you prepare the potatoes?,"i wash them, and then steam them for 15 minutes."
"i wash them, and then steam them for 15 minutes.",that's pretty simple.
that's pretty simple.,"then i add butter, salt, and pepper."
"then i add butter, salt, and pepper.",can i have all those cans of tomato sauce you bought for your pasta?
my girlfriend's mom got mad at me at the dinner table.,why was that?
why was that?,i sprinkled salt and pepper on the food before i tasted it.
i sprinkled salt and pepper on the food before i tasted it.,what's the matter with that?
what's the matter with that?,her mom is a great cook.
her mom is a great cook.,"so, a little salt and pepper never hurt anything."
"so, a little salt and pepper never hurt anything.",it hurt her feelings.
it hurt her feelings.,oh.
oh.,"i apologized to her, but i could tell she was still upset."
"i apologized to her, but i could tell she was still upset.",maybe you shouldn't eat there again.
maybe you shouldn't eat there again.,i'm sure everything will be okay in a day or two.
i'm sure everything will be okay in a day or two.,it's your girlfriend's fault. she should have warned you.
i eat the same thing every day.,you're kidding.
you're kidding.,"no, i'm serious."
"no, i'm serious.",doesn't that get old?
doesn't that get old?,"no, because i'm eating food that i like."
"no, because i'm eating food that i like.",but the same thing day after day gets old.
but the same thing day after day gets old.,"well, i guess if it ever does get old, i'll change to something different."
"well, i guess if it ever does get old, i'll change to something different.",do you eat fruits and vegetables every day?
do you eat fruits and vegetables every day?,"no, i hate vegetables."
"no, i hate vegetables.",but you eat fruits.
but you eat fruits.,"i eat two apples, one banana, and one orange every day."
"i eat two apples, one banana, and one orange every day.","well, there's nothing wrong with that."
there's something wrong with my orange.,what's wrong?
what's wrong?,it's not orange!
it's not orange!,your orange isn't orange?
your orange isn't orange?,"no, it's dark pink!"
"no, it's dark pink!",are you sure? i never heard of such a thing.
are you sure? i never heard of such a thing.,"i just peeled it, and i'm looking at it right now."
"i just peeled it, and i'm looking at it right now.","let me see. yes, you're right. your orange is pink."
"let me see. yes, you're right. your orange is pink.",who ever heard of such a thing?
who ever heard of such a thing?,"oh, look. here's the little sticker that was on it. it's called a pink navel."
"oh, look. here's the little sticker that was on it. it's called a pink navel.",what is this world coming to?
what is this world coming to?,who knows? maybe soon we'll have pink bananas.
i love peanuts.,"me, too. i love them roasted and salted."
"me, too. i love them roasted and salted.",i love boiled peanuts.
i love boiled peanuts.,boiled? i never heard of that.
boiled? i never heard of that.,just boil raw peanuts in salt water until the shells are soft.
just boil raw peanuts in salt water until the shells are soft.,i'll have to try them sometime.
i'll have to try them sometime.,they're best when they're hot.
they're best when they're hot.,my brother is allergic to peanuts.
my brother is allergic to peanuts.,that's not good.
that's not good.,"no, it isn't. he almost died when he was little."
"no, it isn't. he almost died when he was little.",i guess he has to be very careful about what he eats.
i guess he has to be very careful about what he eats.,he has a very strict diet.
i'm gaining weight.,how much have you gained?
how much have you gained?,three pounds just this month.
three pounds just this month.,do you know why?
do you know why?,i think it's the ice cream.
i think it's the ice cream.,you started eating ice cream?
you started eating ice cream?,it was on sale.
it was on sale.,how much did you buy?
how much did you buy?,i filled up my freezer with ice cream.
i filled up my freezer with ice cream.,"well, it won't last forever."
"well, it won't last forever.","no, i figure i'll finish it all by next week."
"no, i figure i'll finish it all by next week.","then you can start losing weight, if there isn't another sale."
i'm stuffed.,of course you are. you ate everything on the table.
of course you are. you ate everything on the table.,i don't like to eat leftovers.
i don't like to eat leftovers.,i'm glad to hear there's something you don't like to eat.
i'm glad to hear there's something you don't like to eat.,i like my food hot and fresh.
i like my food hot and fresh.,you like to see it disappear.
you like to see it disappear.,i don't like it reheated.
i don't like it reheated.,"well, you'll have hot fresh food tomorrow night."
"well, you'll have hot fresh food tomorrow night.",i'm so full i'm going to burst.
i'm so full i'm going to burst.,you should loosen your belt.
you should loosen your belt.,i already loosened my belt and unbuttoned my pants.
i already loosened my belt and unbuttoned my pants.,"well, don't stand up, please."
i saw what you did.,i didn't do anything.
i didn't do anything.,"oh yes, you did."
"oh yes, you did.",what are you talking about?
what are you talking about?,you know what i'm talking about.
you know what i'm talking about.,i don't have any idea.
i don't have any idea.,you know what you did.
